reading	hanri	priority	corrected	english
쇼1뻬5	小妹	1		younger sister
쇼1옿1	小學	1		primary school; elementary school
쇼2	小	1		small
쇼5쇼1	燒燒	1		feverish; hot
숗	惜	1		cherish; pity
숗1볟1	惜別	1		farewell reluctantly
수1뗸4	使然	1		caused by; result of
수2	駛	3		use
수2	使	2		use; make
수5	事	1		matter; thing
수5럄5	思念	1		miss; think of
수5ᄋᆤ	需要	1		need
순5	順	1		smooth; along
순5뎡5산1	孫中山	1		Sun Yat-sen
숟1	術	1		art; technique
슈쥐2	泅水	1		swim
슈키	受氣	1		angry
슐5	想	1		think; want
슐뼇	想欲	1		want to
승	算	3		calculate; count; consider
승1	酸	1		sour
승2	耍	2		play
승2ᄉᆤ	算數	1		count
싀돠5	序大	1		an elder
싀돠랑4	序大人	1		an elder
시	四	3		four
시2	死	4		die; dead
시2밯	四百	1		four hundred
시2잡1	四十	1		forty
시4	時	2		time
시간1	時間	1		time
시졩1	時鐘	1		clock
시준5	時陣	1		time; occasion
신	信	3		letter; believe
신1	身	2		body
신1	新	1		new
신5가5보1	新加坡	1		Singapore
신5가5보5랑4	新加坡人	1		Singaporean person
신5가5포1*	新加坡	1	신5가5보1	Singapore
신5뎩	新竹	1		Hsinchu
신5부5	新婦	1		bride; daughter-in-law
신5빌1	身邊	1		beside; around
신5뿐4	新聞	1		news
신5쿠1	身軀	1		body
신5테2	身體	1		body
싣	失	2		lose; mistake
싣1	實	1		real; solid
싣1지	失志	1		disappointed; despondent
싣1킈	失去	1		lose
실1	生	1		life; give birth
심1	心	1		heart; mind
심5괄1	心肝	1		heart; darling
괄1	肝	1		liver
심5애	心愛	1		beloved
심5이	心意	1		intention; feeling
ᄉᅷ	掃	1		sweep
ᄉᆤ	數	2		number; count
ᄉᆤ2	痟	1		crazy
ᄉᆤ2럄5	數念	1		to miss; to think of
ᄉᆤ2롄4	少年	1		youth; young person
아2	啞	1		mute; dumb
아5겅1	阿公	1		grandfather
아5구5	阿舅	1		maternal uncle
아5냐4	阿娘	1		mother
아5마2	阿媽	1		grandmother
아5보4	阿婆	1		grandmother; old woman
아5뿌2	阿母	1		mother
아5이4	阿姨	1		aunt
아5저2	阿祖	1		great-grandparent
아5졕	阿叔	1		uncle
아5지2	阿姊	1		older sister
아5햘1	阿兄	1		older brother
안1	安	1		peace; safe
안5쾨1	安溪	1		Anxi
암	暗	1		dark
암2메4	暗暝	2		night
암2미4	暗暝	1		night
암2소소4	暗趖趖	1		very dark
암2시4	暗時	1		nighttime
암2안1	暗安	1		good night
앙4	紅	1		red
앙구5궤2	紅龜粿	1		red tortoise cake
앙데4	紅茶	1		black tea
앙ᄃᅷ5	紅豆	1		red bean; azuki bean
